Timestamp;Date;Type;Detail
18:04:26.3219596;20-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
18:04:47.4610539;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
18:05:20.1038051;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:05:21.8539666;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:05:23.9784397;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:05:24.7395214;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:05:27.5453344;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:05:28.8008656;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
