Timestamp;Date;Type;Detail
18:45:48.1396445;20-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
18:46:00.0979366;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
18:46:17.7889938;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:21.9351256;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:39.2205256;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:39.3954724;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:40.5192301;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:40.5212303;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:40.5419762;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:48.5390028;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:48.5415207;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:48.5962702;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:48.8817539;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:52.7344577;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:52.7375525;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:52.7604182;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:54.5197847;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:54.5217886;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:54.6013574;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:54.7545397;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:46:58.7684497;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:58.7704916;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:58.7952703;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:46:58.9409506;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:47:02.8236063;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:02.8256277;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:02.8509669;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:03.9331382;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:03.9341405;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:03.9804666;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:04.1429830;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:09.2640386;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:17.0906912;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:17.0921929;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:17.1485259;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:17.3205050;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:38.7534369;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:47:38.7559688;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:47:38.7848416;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:47:42.8644622;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:42.8664863;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:47:42.9498136;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
