sessionName,userId,soundFile,actualObject,actualRoom,answeredRoom,answeredObject,correctRoom,correctObject,timestamp
Otraprueba,1,Audio 2,Television 2,6,6,Television 2,True,True,2026-06-16 17:07:29
Otraprueba,1,Audio 3,Television 2,5,7,Television 1,False,False,2026-06-16 17:08:45
