Timestamp;Date;Type;Detail
13:48:59.4223078;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:49:00.4544713;24-02-2025;Category;Removed;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:49:09.0384771;24-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
13:49:11.7182907;24-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 7;
13:49:13.9818537;24-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 7;
13:49:26.1499113;24-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 7;
13:49:27.7869487;24-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 7;
13:52:31.6459896;24-02-2025;Selection;Selected;Url: https://www.emol.com/;
13:52:33.9617152;24-02-2025;Selection;Selected;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;
14:19:23.5813118;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
14:19:30.7616703;24-02-2025;Selection;Selected;Url: https://www.emol.com/;
14:19:32.2055005;24-02-2025;Selection;Selected;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;
14:19:38.7768166;24-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
14:19:39.5944371;24-02-2025;Selection;Selected;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;
14:19:40.5719049;24-02-2025;Selection;Selected;Url: https://www.emol.com/;
