Timestamp;Date;Type;Detail
19:42:38.7862644;20-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
19:43:01.8822670;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
19:43:14.8554550;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba2;
19:43:15.4393752;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba2;
19:44:25.5470868;20-02-2025;Session Status;Stop;;
