Timestamp;Date;Type;Detail
19:16:21.2611550;23-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
19:16:29.6860793;23-02-2025;Selection;Selected;Url: https://www.emol.com/;
19:16:35.1840068;23-02-2025;Category;Added;Url: https://www.emol.com/;Name: Prueba 4;
19:16:39.2568879;23-02-2025;Selection;Selected;Url: https://www.latercera.com/;
19:16:42.4611978;23-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 3;
19:16:48.1599775;23-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
19:16:49.9391493;23-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 3;
