Timestamp;Date;Type;Detail
20:02:44.2355921;20-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
20:02:55.7792247;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
20:03:22.5924565;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:03:23.2808980;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:55.3559514;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:55.3569677;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:55.7566408;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:57.5051212;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:57.5071457;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:57.5566447;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:57.8828107;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:58.6874229;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:58.6899363;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:05:58.8496035;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:07.9343058;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:07.9363264;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:08.1359130;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:08.4732906;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:13.4761913;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:13.4782576;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:13.5244873;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:19.1229016;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:19.1845864;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:21.0716166;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:22.2118245;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:22.3216533;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:24.7024691;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:29.2223364;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:06:29.2844409;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
