sessionName,userId,soundFile,prefabType,roomIndex,direction,correct,timestamp
Audioespacial,3,Audio 1,80sTelevision,5,IZQUIERDA,False,2026-05-17 23:43:27
Audioespacial,3,Audio 1,80sTelevision,5,IZQUIERDA,False,2026-05-17 23:43:36
